algo,nb_nodes,time,ans
glouton,736,314.50100000000003,239.2
glouton,737,312.0639,241.2
glouton,738,312.0234,240.6
glouton,739,313.2822,241.6
glouton,740,314.269,240.9
glouton,741,318.6971,243.3
glouton,742,316.2582,243.4
glouton,743,318.0389,242.9
glouton,744,319.3317,241.8
glouton,745,319.3136,242.2
glouton,746,317.6476,244.8
glouton,747,319.8202,243.6
glouton,748,323.7328,244.0
glouton,749,321.2996,245.4
glouton,750,326.21410000000003,243.8
glouton,751,323.1511,244.9
glouton,752,325.2674,246.4
glouton,753,334.2867,245.8
glouton,754,329.3116,245.6
glouton,755,331.4651,245.9
glouton,756,327.2353,244.7
glouton,757,400.0741,247.8
glouton,758,363.17089999999996,246.9
glouton,759,336.8096,247.3
glouton,760,333.98490000000004,247.1
glouton,761,333.2962,246.9
glouton,762,332.5511,248.5
glouton,763,335.9676,249.4
glouton,764,340.0357,248.9
glouton,765,336.5611,247.9
glouton,766,340.66970000000003,249.4
glouton,767,340.7922,250.0
glouton,768,340.1938,247.8
glouton,769,337.8845,250.2
glouton,770,339.9548,252.5
glouton,771,342.20079999999996,250.8
glouton,772,345.3933,252.6
glouton,773,354.4136,251.4
glouton,774,361.2902,251.5
glouton,775,347.6774,251.2
glouton,776,347.15,251.5
glouton,777,345.3984,252.1
glouton,778,346.25370000000004,253.8
glouton,779,348.6359,254.3
glouton,780,347.9934,253.1
glouton,781,347.6701,253.9
glouton,782,354.48069999999996,254.4
glouton,783,351.9404,253.7
glouton,784,353.96860000000004,255.0
glouton,785,355.6779,254.1
glouton,786,354.2043,255.2
glouton,787,359.08389999999997,255.2
glouton,788,370.9899,256.4
glouton,789,393.33050000000003,255.7
glouton,790,381.3298,254.9
glouton,791,379.7502,256.3
glouton,792,363.2672,255.7
glouton,793,362.5945,258.0
glouton,794,365.76930000000004,257.8
glouton,795,364.5825,257.0
glouton,796,366.7724,256.8
glouton,797,365.5549,258.3
glouton,798,365.47339999999997,258.1
glouton,799,369.975,257.9
glouton,800,370.2982,258.4
glouton,801,367.98269999999997,257.9
glouton,802,368.74719999999996,259.9
glouton,803,375.25570000000005,258.7
