nb_nodes,seed,algo,time,ans
55,1,glouton,1.5587,27
55,2,glouton,1.4954,26
55,3,glouton,1.5158,27
55,4,glouton,1.4869,25
55,5,glouton,1.491,26
55,6,glouton,1.5953,26
55,7,glouton,1.5556,27
55,8,glouton,1.599,29
55,9,glouton,1.4805,25
56,0,glouton,1.5079,26
56,1,glouton,1.5253,26
56,2,glouton,1.5119,27
56,3,glouton,1.5631,29
56,4,glouton,1.4398,25
56,5,glouton,1.9175,29
56,6,glouton,1.4543,26
56,7,glouton,1.5718,28
56,8,glouton,2.6492,28
56,9,glouton,1.512,28
57,0,glouton,1.5694,26
57,1,glouton,1.551,26
57,2,glouton,2.211,25
57,3,glouton,1.6143,28
57,4,glouton,1.7155,28
57,5,glouton,1.8229,27
57,6,glouton,1.6944,29
57,7,glouton,1.735,29
57,8,glouton,1.7065,28
57,9,glouton,1.629,27
58,0,glouton,1.6657,27
58,1,glouton,1.654,27
58,2,glouton,1.6331,26
58,3,glouton,2.4788,26
58,4,glouton,2.569,29
58,5,glouton,2.7116,28
58,6,glouton,1.7849,28
58,7,glouton,1.8936,27
58,8,glouton,1.9126,27
58,9,glouton,1.5353,26
59,0,glouton,1.7209,29
59,1,glouton,1.7472,29
59,2,glouton,1.7185,30
59,3,glouton,1.6512,28
59,4,glouton,1.6841,29
59,5,glouton,1.7042,30
59,6,glouton,1.6287,27
59,7,glouton,1.7076,27
59,8,glouton,1.6784,29
59,9,glouton,1.6741,28
60,0,glouton,1.7467,29
60,1,glouton,1.7434,28
60,2,glouton,1.7462,27
60,3,glouton,1.8069,28
60,4,glouton,1.7593,28
60,5,glouton,1.8223,28
60,6,glouton,1.7434,28
60,7,glouton,1.8567,29
60,8,glouton,1.7974,29
60,9,glouton,1.7744,28
61,0,glouton,1.9413,32
61,1,glouton,1.8372,28
61,2,glouton,1.7862,27
61,3,glouton,1.9043,29
61,4,glouton,1.861,29
61,5,glouton,1.8637,30
61,6,glouton,2.0398,28
61,7,glouton,1.9386,28
61,8,glouton,1.875,31
61,9,glouton,1.7407,27
62,0,glouton,1.8678,28
62,1,glouton,1.8151,27
62,2,glouton,1.9439,32
62,3,glouton,1.8671,28
62,4,glouton,2.0314,28
62,5,glouton,1.8678,28
62,6,glouton,1.861,31
62,7,glouton,1.8537,30
62,8,glouton,1.7969,29
62,9,glouton,1.7555,27
63,0,glouton,1.8375,28
63,1,glouton,1.8936,30
63,2,glouton,1.9149,29
63,3,glouton,2.0734,31
63,4,glouton,2.3828,30
63,5,glouton,2.037,30
63,6,glouton,2.1721,29
63,7,glouton,2.0292,31
63,8,glouton,2.031,31
63,9,glouton,1.9869,30
64,0,glouton,2.0207,30
64,1,glouton,2.9795,31
64,2,glouton,2.0765,31
64,3,glouton,2.2105,31
64,4,glouton,1.9957,29
64,5,glouton,2.1208,32
64,6,glouton,2.4655,30
64,7,glouton,2.1458,31
64,8,glouton,2.0328,30
64,9,glouton,2.0077,29
65,0,glouton,2.0536,30
65,1,glouton,2.1045,31
65,2,glouton,2.013,29
65,3,glouton,2.0891,31
65,4,glouton,2.227,31
65,5,glouton,2.015,31
65,6,glouton,2.0705,32
65,7,glouton,2.0769,31
65,8,glouton,2.0254,31
65,9,glouton,1.895,28
66,0,glouton,2.0806,31
66,1,glouton,3.9576,34
66,2,glouton,2.0653,31
66,3,glouton,2.1826,32
66,4,glouton,2.1502,31
66,5,glouton,2.275,31
66,6,glouton,2.1724,30
66,7,glouton,2.1989,31
66,8,glouton,2.1666,31
66,9,glouton,2.2327,32
67,0,glouton,2.2888,32
67,1,glouton,2.249,30
67,2,glouton,2.347,32
67,3,glouton,2.2929,31
67,4,glouton,2.3004,32
67,5,glouton,2.3025,33
67,6,glouton,2.1951,31
67,7,glouton,2.2864,32
67,8,glouton,2.2398,31
67,9,glouton,2.204,29
68,0,glouton,2.3704,33
68,1,glouton,2.3157,33
68,2,glouton,2.3244,32
68,3,glouton,2.6411,33
68,4,glouton,2.4172,32
68,5,glouton,2.2886,32
68,6,glouton,2.2695,30
68,7,glouton,2.2909,33
68,8,glouton,2.3232,30
68,9,glouton,2.2781,30
69,0,glouton,2.6051,33
69,1,glouton,2.2979,33
69,2,glouton,2.2359,31
69,3,glouton,2.3989,34
69,4,glouton,2.2636,31
69,5,glouton,3.0487,33
69,6,glouton,2.4387,33
69,7,glouton,3.295,31
69,8,glouton,2.362,31
69,9,glouton,2.6195,32
70,0,glouton,2.409,32
70,1,glouton,2.4536,32
70,2,glouton,3.3988,32
70,3,glouton,2.592,35
70,4,glouton,2.4822,33
70,5,glouton,2.4548,32
70,6,glouton,2.7496,35
70,7,glouton,2.8461,33
70,8,glouton,2.5237,34
70,9,glouton,2.3214,30
71,0,glouton,2.5687,34
71,1,glouton,2.5002,34
71,2,glouton,2.5344,31
71,3,glouton,2.6752,35
71,4,glouton,2.6425,33
71,5,glouton,2.5573,30
71,6,glouton,2.3775,34
71,7,glouton,3.9894,32
71,8,glouton,2.3359,31
71,9,glouton,2.5559,34
72,0,glouton,2.5822,34
72,1,glouton,2.5308,33
72,2,glouton,2.6229,33
72,3,glouton,2.6801,34
72,4,glouton,2.5995,33
72,5,glouton,2.6846,36
72,6,glouton,3.038,34
72,7,glouton,2.6417,34
72,8,glouton,2.5255,32
72,9,glouton,2.4835,32
73,0,glouton,2.974,35
73,1,glouton,2.6832,34
73,2,glouton,2.639,33
73,3,glouton,3.0658,36
73,4,glouton,2.6162,33
73,5,glouton,2.6397,34
73,6,glouton,2.6349,35
73,7,glouton,2.6093,35
73,8,glouton,2.5101,33
73,9,glouton,3.1038,36
74,0,glouton,2.8049,35
74,1,glouton,2.8349,37
74,2,glouton,2.7422,34
74,3,glouton,3.8113,35
74,4,glouton,2.7601,34
74,5,glouton,2.7475,35
74,6,glouton,2.9099,35
74,7,glouton,2.8561,35
74,8,glouton,2.7946,35
74,9,glouton,2.8014,36
75,0,glouton,2.8198,34
75,1,glouton,2.9475,37
75,2,glouton,2.757,34
75,3,glouton,2.7611,34
75,4,glouton,2.8344,36
75,5,glouton,3.5598,34
75,6,glouton,2.7435,35
75,7,glouton,2.8389,36
75,8,glouton,3.0423,37
75,9,glouton,2.827,34
76,0,glouton,2.7677,33
76,1,glouton,2.7974,36
76,2,glouton,2.879,34
76,3,glouton,2.8372,36
76,4,glouton,2.6778,34
76,5,glouton,2.7419,35
76,6,glouton,3.4082,35
76,7,glouton,2.853,38
76,8,glouton,2.9455,35
76,9,glouton,2.8635,37
77,0,glouton,2.9659,38
77,1,glouton,2.8608,36
77,2,glouton,2.9575,34
77,3,glouton,3.0554,37
77,4,glouton,2.9944,36
77,5,glouton,2.9696,36
77,6,glouton,2.8882,34
77,7,glouton,3.2545,36
77,8,glouton,3.0204,36
77,9,glouton,3.1464,35
78,0,glouton,3.0258,36
78,1,glouton,2.8538,33
78,2,glouton,2.8932,36
78,3,glouton,2.9278,37
78,4,glouton,2.9001,36
78,5,glouton,2.9992,35
78,6,glouton,3.8649,36
78,7,glouton,2.98,37
78,8,glouton,2.9755,37
